"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible","bikes_allowed"
"21140_700",1,224940458,"Lauchhammer Mitte, D.-Heßmer-Platz","401",0,,520,0,0
"21140_700",2,224940457,"Lauchhammer Mitte, D.-Heßmer-Platz","402",0,,520,0,0
"21140_700",3,224940456,"Lauchhammer Mitte, D.-Heßmer-Platz","403",0,,520,0,0
"21140_700",4,224940454,"Lauchhammer Mitte, D.-Heßmer-Platz","404",0,,521,0,0
"21140_700",3,224940455,"Lauchhammer Mitte, D.-Heßmer-Platz","405",0,,521,0,0
"21140_700",1,224940453,"Staupitz, Gasthaus","301",1,,522,0,0
"21140_700",2,224940451,"Finsterwalde, Sorno Hauptstr.","302",1,,523,0,0
"21140_700",3,224940452,"Staupitz, Gasthaus","303",1,,522,0,0
"21140_700",3,224940450,"Staupitz, Gasthaus","304",1,,524,0,0
"21139_700",2,224939928,"Falkenberg/E., Gymnasium","301",0,,514,0,0
"21139_700",2,224939927,"Falkenberg/E., Bahnhof","302",0,,515,0,0
"21139_700",2,224939926,"Falkenberg/E., Bahnhof","303",0,,515,0,0
"21139_700",5,224939923,"Falkenberg/E., Bahnhof","304",0,,515,0,0
"21139_700",2,224939925,"Löhsten, Gasthaus","305",0,,516,0,0
"21139_700",2,224939924,"Falkenberg/E., Bahnhof","306",0,,515,0,0
"21139_700",2,224939922,"Herzberg (Elster), Busbahnhof","402",1,,517,0,0
"21139_700",2,224939920,"Herzberg (Elster), Lugstr.","403",1,,518,0,0
"21139_700",2,224939918,"Herzberg (Elster), Busbahnhof","405",1,,519,0,0
"21139_700",2,224939921,"Herzberg (Elster), Lugstr.","406",1,,518,0,0
"21139_700",5,224939919,"Herzberg (Elster), Lugstr.","407",1,,518,0,0
"18610_700",1,228289658,"Torgau, Bahnhof","101",0,,499,0,0
"18610_700",1,228289654,"Torgau, PEP Einkaufszentrum","102",0,,500,0,0
"18610_700",1,228289653,"Torgau, PEP Einkaufszentrum","103",0,,501,0,0
"18610_700",1,228289652,"Torgau, PEP Einkaufszentrum","104",0,,501,0,0
"18610_700",1,228289648,"Döbrichau, B87","105",0,,503,0,0
"18610_700",1,228289651,"Torgau, PEP Einkaufszentrum","106",0,,501,0,0
"18610_700",1,228289649,"Torgau, PEP Einkaufszentrum","107",0,,502,0,0
"18610_700",1,228289650,"Torgau, PEP Einkaufszentrum","108",0,,501,0,0
"18610_700",1,228289645,"Torgau, Bahnhof","109",0,,506,0,0
